gender,readfk,mathfk,readsk,mathsk,readff,mathff,readsf,mathsf
0,36.58,39.54,49.37,50.1,50.91,62.72,87.32,96.04
0,50.82,44.44,83.5,58.93,135.8,65.29,155.63,76.33
0,40.68,28.57,40.41,32.81,41.65,53.44,78.09,64.1
1,34.72,26.62,42.06,34.37,45.42,34.73,85.32,79.47
0,38.28,40.88,50.4,38.86,56.4,48.56,87.74,64.08
1,32.57,23.57,34.14,35.25,43.46,44.87,55.64,45.41
1,31.98,19.65,32.84,23.6,46.48,41.47,59.83,38.54
0,50.45,36.27,64.13,53.31,89.95,74.22,132.11,96.92
1,32.49,20.82,38.52,29.09,43.54,30.66,73.21,45.47
0,33.3,26.85,36.72,32.22,44.61,55.21,70.18,61.06
0,65.92,47.36,84.61,59.89,106.62,76.02,127.92,100.46
1,62.43,62.32,99.43,78.65,105.42,113.39,125.74,112.37
1,34.2,22.27,39.87,27.44,47.13,48.11,101.55,73.09
1,38.8,32.57,49,53.96,50.16,51.38,86.21,62.5
1,26.77,15.97,32.86,21.97,38.51,24.54,43.2,43.5
1,48.32,40.94,50.6,48.69,57.69,48.12,85.82,68.88
0,43.01,33.26,46.24,35.24,51.26,51.29,66.48,66.84
0,27.85,20.32,33.9,28.91,39.32,32.69,58.56,63.66
0,27.9,20.23,43.24,31.35,51.46,41.23,73.6,56.75
0,32.44,23.7,40.93,31.04,56.35,38.11,108.46,65.43
0,27.81,18.64,39.6,25.58,53.03,38.59,71.11,43.55
1,33.34,22.53,45.35,31.06,47.83,36.33,76.63,59.46
1,32.05,20.27,40.36,23.57,37.21,41.03,58.38,48.38
1,26.85,25.83,33.15,34.26,34.26,48.97,49.24,48.84
0,30.77,22.93,36.65,32.67,38.21,34.93,52.84,53.35
1,32.96,21.4,37.47,30.99,46.11,37.66,88.84,71.65
1,27.46,13.92,29.66,18.8,42.29,25.57,46.71,33.66
0,43.8,34.63,51.26,40.13,53.72,48.68,73.98,60.41
1,36.67,33.24,36.7,37.2,52.69,51.03,70.22,75.96
0,37.42,29.9,46.36,39.68,47.33,27.16,73.85,46.9
0,38.71,25.87,47.36,46.5,49.48,44.41,65.94,58.74
1,36.05,27.04,43.43,42.97,40.59,57.02,66.98,76.49
1,30.98,30.43,40.15,33.61,46.85,43.95,85.76,58.9
0,30.73,25.25,44.35,38.75,48.82,35.43,59.63,61.21
0,85.91,44.52,120.88,53.18,130.15,48.18,149.83,93.95
1,28.97,21.08,38.83,33.25,51.85,40.12,57.85,66.35
0,30.01,24.71,40.1,35.71,43.13,41.77,68.2,54.54
1,33.47,32.3,44.08,51.85,50.69,60.73,78.98,66.85
1,28.02,20.98,41.49,28.5,43.73,32.19,64.46,33.13
0,36.8,28.95,42.94,42.17,45.96,38.15,87.34,72.46
0,27.24,18.14,46.18,34.73,50.31,59.45,77.29,60.58
0,35.25,29.41,53.71,46.53,64.78,48.43,72.99,56.01
0,30.56,21.03,43.36,32.57,50.54,28.95,76.41,48.29
1,24.67,16.35,29.85,29.25,39.05,37.6,72.63,52.03
0,33.75,17.46,45.1,28.05,48.94,35.69,67.4,51.67
0,35.04,27.45,50.78,38.42,49.7,38.86,66.08,56.95
1,27.76,25.85,46.74,36.5,42.98,46.33,64.14,77.85
0,25.48,17.62,42.59,25.24,44.27,40.48,63.89,39.1
1,35.82,27.5,51.13,40.39,56.91,40.8,87.94,60.5
1,27.38,20.95,47.19,40.06,51.48,36.39,73.54,43.94
1,26.06,13.05,39.33,28.45,49.03,32.13,65.74,47.3
1,28.18,13.48,48.33,31.21,56.66,34.73,65.45,41.87
0,24.91,14.02,30,16.66,31.27,26.02,50.55,45.7
0,23.93,17.59,48.31,38.28,45.96,32.69,76.29,53.91
0,23.57,15.65,42.95,28.83,53.1,33.54,59.37,40.62
1,23.93,18.19,39.01,29.31,42.47,28.9,58.97,48.18
0,24.97,12.38,26.37,17.28,30.72,17.87,40.48,27.61
1,23.64,12.45,27.82,12.81,27.57,14.82,26.33,18.69
0,25.7,18.65,40.05,30.69,46.55,38.84,68.45,55.39
1,24.3,15.28,27.15,27.7,31.82,27.23,62.84,46.33
1,23.21,11.74,40.83,21.63,44.61,31.29,40.96,54.6
0,24.38,17.34,34.57,23.11,40.47,28.27,51.54,36.5
0,32.38,22.12,36.31,27.62,51.46,38.65,84.51,56.87
1,26.4,19.31,37.67,23.86,32.61,27.62,39.27,35.68
1,40.55,33.97,49.72,42.03,47.34,41.08,66.19,92.61
0,39.73,27.35,48.93,37.89,50.47,38.98,72.69,44.52
1,37.23,40.17,50.27,61.34,69.18,75.01,105.91,94.66
0,32.88,19.79,39.73,27.62,45.25,34.85,50.16,46.67
1,25.55,13.36,28.34,29.21,36.22,42.44,48.05,52.86
1,31.15,22.22,44.35,38.97,48.74,42.63,65.97,59.51
0,35.26,30.7,38.69,35.91,45.42,42.45,71.03,55.88
0,38.48,28.58,54.49,32.95,66.39,46.7,85.21,55.85
1,26.99,13.96,34.75,28.34,27.96,33.37,48.53,50.71
0,31.25,20.13,37.32,21.43,41.27,32.12,58.14,44.38
1,29.04,23.93,37.43,37.22,43.06,34.64,50.99,59.41
0,31.91,23.62,39.79,25.58,46.87,32.28,61.23,32.66
1,28.73,12.41,29.58,19.43,34.19,26.52,49.34,44.67
0,38.55,27.56,45.8,34.96,49.43,36.95,63.03,73.89
0,39.51,26.65,47.28,37.35,55.07,48.14,95.29,64.14
1,25.69,17.83,28.14,29.31,37.08,33.42,58.8,64.12
1,24.56,12.2,27.56,18.72,32.38,18.18,31.26,29.84
1,32.03,27.14,40.44,30.81,44.05,34.64,76.5,63.64
0,25.67,19.61,38.31,28.1,44.2,36.52,89.83,67.09
1,30.95,21.46,46.33,33.27,45.43,40.97,65.69,57.43
1,29,18.5,34.76,28.84,43.41,26.53,51.85,37.92
1,27.15,21.48,32.53,23.34,37.65,26.49,44.66,30.27
1,36.37,25.86,41.1,30.82,48.68,40.99,91.63,60.73
1,35.01,29.17,45.07,39.9,50.34,43.41,62,76.38
1,37.79,33.78,57.68,37.68,70.18,48.12,105.26,54.43
0,41.68,24.32,48.01,34.58,54.01,37.49,66.78,54.92
1,75.86,43.2,109.48,73.23,125.37,76.44,126.15,88.19
1,48.74,22.73,79.14,43.68,98.48,44.44,122.49,61.69
0,38.18,23.78,49.94,34.98,63.54,41.17,74.97,48.53
0,34.73,21.04,37.56,33.68,41.79,28.99,52.03,40.84
1,36.11,26.18,41.02,34.4,42.07,39.42,64.12,66.3
0,40.23,20.27,38.65,28.03,45.87,34.66,66.17,40.86
1,25.63,13.33,35.37,23.61,29.27,29.87,60.01,51.57
1,27.51,19.83,37.09,28.14,47.22,31.62,57.1,45.58
1,49.83,46.38,78.87,58.69,76.82,57.3,126.86,89.01
1,49.61,43.91,57.05,57.15,76.7,82.48,124.81,72.7
0,40.34,29.05,44.33,32.47,38.75,34.43,66.12,56.86
0,29.47,21.88,42.85,34.47,43.06,35.8,86.92,53.84
1,27.63,16.91,30.04,35.1,37.08,32.53,41.37,42.23
0,51.52,47.72,86.53,53.84,105.37,100.84,126.85,92.33
1,49.48,34.71,58.05,46.93,64.71,53.43,97.16,71.97
1,30.79,28.82,40.85,36.11,52.35,45.33,88.31,64.53
0,59.67,47.11,76.44,73.5,78.05,101.45,89.84,106.94
0,39.14,22.45,49.3,33.79,59.22,42.39,101.05,49.94
0,41.46,30.8,51.79,46.98,59.68,59.72,90.96,67.39
1,33.56,28.51,46.94,37.59,52.19,49.6,106.36,70.35
0,42.69,29.19,42.28,46.16,53.98,52.9,65.82,55.42
0,27.11,16.15,35.34,20.46,45.89,30.9,62.45,53.76
1,25.95,14.34,27.95,21.06,39.41,21.95,67.47,41.53
0,38.5,20.68,39.28,28.86,58.39,34.47,61.17,51.4
1,30.91,25.37,43.1,36.75,37.63,35.74,68.32,54.72
0,29.94,29.48,43.29,46.75,41.8,50.12,53.8,80.93
0,29.44,23.87,36.59,20.36,30.38,22.53,51.98,39.14
0,27.56,22.37,31.75,38.04,40.37,43.86,64.85,50.49
0,37.8,25.84,42.03,28.4,50.27,43.05,72.57,55.42
1,32.96,26.34,48.19,39.26,51.89,47.4,78.07,64.1
0,30.07,24.69,39.71,36.16,48.97,38.92,58.06,43.29
1,32.24,26.29,42.22,30.04,43.74,30.58,66.94,50.73
0,35.12,28.62,42.01,45.61,45.19,55.48,76.26,74.4
0,34.51,27.38,42.83,35.46,48.1,40.27,63.37,50.06
1,29.6,18.65,39.5,21.53,47.15,26.02,61.19,52.85
1,30.93,25.32,42.83,33.35,50.67,52.08,77.98,80.2
0,34.88,28.46,41.38,39.94,57.49,47.45,94.85,72.41
1,30.2,21.56,35.64,31.37,42.04,28.54,56.75,43.12
1,22.23,12.62,26.3,12.83,32.62,16.14,44.19,25.73
0,27.89,13.93,30.48,17.41,31.55,18.28,48.08,27.27
0,35.7,20.55,39.28,28.31,48.37,33.19,58.14,45.51
1,48.56,45.19,60.56,71.4,87.46,75.49,115.2,118.51
1,27.09,27.13,30.04,47.47,34.42,43.1,67.59,68.85
0,25.05,15.14,33.69,19.56,38.97,28.85,79.17,50.58
0,32.86,17.28,34.98,25.32,44.68,26.37,56.73,33.46
1,26.25,13.24,28.02,21.39,31.34,24.56,37.4,32.86
1,34.68,28.93,40.42,39.6,41.42,43.72,63.17,55.76
1,38.92,30.77,51.97,36.45,75.6,38.37,106.05,61.54
1,23.96,29.01,45.32,36.44,45.87,42.81,57.9,61.43
0,26.28,19.71,27.4,18.68,28.43,23.4,33.95,19.64
0,29.26,17.61,43.46,25.48,51.82,28.53,74.39,41.98
0,33.9,24.19,41.36,34.07,40.71,39.92,76.24,55.11
0,26.95,13,29.42,20.31,35.52,20.97,44.59,26.34
1,41.24,25.78,46.39,43.02,68,39.6,62.67,53.1
0,25.46,17.41,36,24.6,45.24,30.15,50.08,35.98
1,24.25,19.39,28.34,24.43,33.05,26.14,38.92,44.75
0,37.55,22.2,40.8,31.43,47.47,40.27,83.5,50.76
1,33.12,12.86,37.67,25.15,40.44,27.78,44.89,34.98
0,39.69,19.84,47.33,23.74,48.87,42.6,75.65,62.89
0,36.22,25.48,39.27,28.04,51.89,33.82,75.58,48.29
0,35.87,20,43.66,24.98,46.6,28.27,65.64,43.42
1,31.51,18.76,42.56,25.59,57.19,28.97,64.03,45.71
0,46.1,29.53,63.66,35.57,64.06,45.12,107.9,55.08
1,27.09,21.63,38.85,31.3,38.3,41.47,67.76,49.92
1,26.34,20.86,33.71,29.26,39.05,28.94,48.5,40.58
0,30.83,20.3,37.15,35.94,43.58,35.48,59.08,42.17
0,25.69,21.42,27.69,24.72,37.2,32.64,57.06,60.37
1,27.97,28.15,39.25,36.34,44.72,42.44,71.84,60.59
1,27.19,17.88,38.16,25.98,39.77,33.37,50.8,46.07
0,39.77,28.5,41.84,35.13,44.66,35.04,75.32,49.14
0,48.38,36.98,70.77,38.51,97.52,49.97,125.86,65.18
1,33.64,33.19,37.21,41.94,50.78,53.64,77.72,93.52
0,27.82,28.69,41.7,31.36,42.13,72.67,71.23,87.77
0,28.77,16.44,38.08,20.85,46.7,24.82,42.97,25.36
0,30.53,19.65,38.85,26.87,46.83,32.22,78.96,56.15
1,33.44,26.2,35.55,41.25,47.15,46.06,66.46,55.63
1,33.37,29.47,36.36,33.18,49.15,38.73,73.91,49.61
0,31,24.6,34.65,28.68,40.53,31.71,70.62,54.24
1,33.12,19.57,36.08,31.44,49.04,43.65,62.92,48.63
1,33.02,21.07,41.38,28.64,46.43,37.6,60.76,53.65
1,31.15,24.17,39.7,27.71,51.13,38.7,76.39,55.21
1,33,41.79,37.79,46.9,49.18,61.14,88.77,90.66
1,28.84,19.77,32.48,30.58,53.09,40.55,97.71,69.67
1,26,17.97,30.72,21.91,33.42,24.54,34.34,41.52
0,32.83,19.64,35.99,26.86,46.48,29.67,78.22,56.66
1,26.43,20.39,36.47,32,42.23,48.81,75.8,44.55
0,29.75,18.58,42.05,27.74,49.25,36.67,78.47,58.66
1,46.25,40.64,49.53,42.63,56.1,43.91,115.12,82.58
0,33.73,24.98,40.09,34.8,51.16,27.75,83.3,45.08
1,23.85,18.07,27.84,21.63,28.18,22.25,38.32,33.13
0,32.27,19.78,36.83,25.55,40.38,35.15,65.38,56.91
1,47.8,40.11,57.98,47.56,64.49,67.18,107.12,60.49
0,48.56,45.53,62.75,55.93,70.67,87.17,101.05,68.45
1,36.14,55.17,50.18,69.39,51.68,61.5,73.99,105.5
1,43.25,39.9,61.8,41.24,74.84,60.6,105.41,92.37
0,56.44,47.25,78.06,50.15,106.61,54.93,125.72,105.19
0,52.33,36.37,85.73,56.38,85.95,74.47,138.38,94.03
1,33.61,35.33,50.14,46.25,59.82,56.27,106.05,55.66
0,60.05,44.39,99.14,58.85,102.47,74.95,130.43,101.45
1,39.02,37.89,56.48,49.45,63.88,56.21,75.69,61.4
1,30.86,21.31,46.95,45.74,49.09,38.18,75.74,71.14
0,30.31,17.33,44.63,30.62,44.88,30.09,65.43,45.81
0,37.49,28.91,44.62,35.31,76.78,52.28,78.75,57.74
1,25.49,13.39,36.42,24.53,36.07,23.69,44.25,32.69
1,31.92,18.21,39.02,34.15,41.37,31.49,70.6,52.61
1,35.67,46.35,49.82,59.69,59.22,57.29,90.79,77.21
1,32.8,26.73,35,28.47,37.53,42.85,63.55,68.64
1,24.99,17.45,30.04,21.07,38.1,22.33,56.72,42.28
0,49.66,31.02,86.76,46.26,101.27,45.62,134.13,62.88
1,30.95,29.58,38.93,34.86,40.53,39.24,60.86,60.43
0,42.22,28.88,46.04,36.85,50.89,35.87,74.79,60.19
0,24.5,15.54,27.89,17.73,24.52,21.81,68.11,27.3
0,25.39,17.83,36.22,32.67,42.05,30.14,59.43,37.6
1,43.45,38.35,74.53,57.87,97.17,45.78,148.15,88.35
1,36.53,32.74,51.37,49.32,65.98,60.73,124.48,75.21
1,25.24,21.3,33.65,27.63,37.57,34.45,51.48,40.42
1,31.3,26.68,40.36,27.46,52.16,40.52,89.17,56.92
0,48.88,31.2,52.32,42.17,52.77,42.37,64.79,67.33
0,35.66,26.98,44.22,42.89,52.4,49.14,82.04,82.47
1,24.82,15.98,28.09,21.8,33.61,24.47,50.57,33.68
1,22.83,12.55,28.2,13.08,30.4,18.81,46.49,23.55
1,28.14,26.72,32.53,46.79,43.58,48.66,70.09,72.09
0,40.68,28.63,44.63,34.76,47.01,44.71,66.76,63.39
0,49.46,37.81,76.16,37.67,93.33,49.37,146.28,74.38
0,23.54,17.83,29.17,19.46,31.82,27.66,48.32,35.05
1,25.07,13.38,31.22,19.73,35.26,20.86,49.66,49.24
1,23.04,13.29,28.07,18.44,30.2,17.69,47.56,39.44
1,27.43,21.05,35.81,23.86,38.92,34.88,52.07,35.66
1,29.58,28.78,45.33,44.55,48.84,47.38,59.6,63.25
1,32.64,36.24,36.09,51.04,52.09,51.82,62.32,86.4
1,35.42,39.55,48.35,64.73,59.73,88.27,75.96,75.1
1,24.95,17.4,36.44,42.87,42.32,51.61,52.57,61.65
0,33.88,33.25,45.99,38.98,51.8,51.61,55.76,62.01
0,34.41,28.63,35.41,30.41,44.82,34.73,63.63,44.42
1,24.5,17.99,32.6,32.57,42.47,30.1,74.91,51.56
1,24.96,17.85,29.12,28.03,40.06,30.88,65.45,55.4
0,24.02,20.42,32.22,22.7,31.52,38.23,40.12,46.62
1,24.02,12.72,25.88,15.21,30.64,17.31,38.8,22.72
1,24.39,18.03,32.98,28.59,37.12,32.61,51.33,38.99
1,24.06,17.8,32.22,20.65,44.34,25.37,43.69,29.99
0,41.12,22.33,46.02,30.47,63.25,44.87,88.44,57.49
1,32.1,19.97,38.05,29.45,40.79,35.77,77.87,57.6
0,45.72,40.7,50.34,46.57,66.94,61.66,106.02,69.9
0,30.73,16.5,34.09,19.67,42.14,25.57,47.28,29.52
1,26.45,18.57,35.26,23.19,33.03,24.59,52.86,35.91
0,31.65,18.22,38.55,25.81,48.76,34.42,72.16,56.92
0,41.33,32.34,47.5,38.25,57.58,48.7,64.99,59.69
1,32.05,22.93,39.52,29.79,47.36,32.63,64.77,49.44
1,35.52,22.84,38.95,27.43,47.43,37.71,72.09,64.44
1,26.72,24.52,33.98,30.73,39.02,32.41,53.8,33.13
1,24.58,12.43,37.46,28.34,32.54,27.36,42.07,33.39
0,38.88,33.13,42.42,43.97,33.03,44.91,51.53,69.07
0,30.63,21.62,44.75,35.68,42.59,26.52,57.99,25.26
1,36.16,39.66,56.13,38.68,63.12,49.41,91.54,86.25
1,27.6,19.85,37.14,26.89,41.79,30.19,42.01,34.96
0,33.02,22.3,37.33,28.24,33.14,46.49,55.37,51.63
1,29.2,22.35,37.84,35.92,41.27,30.81,54.14,39.82
1,25.14,10.79,24.44,11.57,29.16,13.4,33.9,16.45
1,32.89,26.03,40.04,33.68,45.62,39.93,74.23,68.71
0,32.58,24.02,48.07,32.75,50.82,48.19,92.18,56.55
0,38.09,28.25,45.58,32.68,44.92,38.84,50.45,50.28
1,36.67,25.14,48.13,38.97,48.85,30.01,66.33,36.17
1,29.09,29.95,41.79,39.69,48.25,56.82,94.28,85.94
1,32.93,22.47,36.86,27.9,37.24,28.47,48.26,40.64
0,33.21,24.19,44.16,28.01,48.06,31.34,88.94,55.05
0,33.93,25.04,40.76,33.08,47.02,39.67,76.25,64.23
1,26.01,18.69,28.53,20.97,43.88,27.37,66.44,44.06
1,33.41,24.67,48.25,31.57,56.02,35.04,74.82,50.28
0,25.32,19.36,38.4,28.09,41.8,30.3,66.58,40.64
0,28.75,18.45,31.12,21.04,33.78,19.04,40.59,31.48
0,31.96,26.49,41.53,28.93,46.37,38.23,74.29,48.11
1,34.24,25.84,43.86,31.41,46.05,34.62,59.69,51.26
1,35.24,22.22,36.12,24.24,38.87,30.69,59.69,41.45
0,33.54,26.56,48.6,37.21,48.04,41.4,67.24,63.05
1,27.73,17.51,41.19,28.75,48.22,38.87,92.66,53.14
0,24.24,16.48,39.79,18.94,40.62,23.14,52.69,35.69
0,35.34,28.66,41.38,32.7,46.24,43.18,72.35,71.19
1,23.55,16.13,33.54,19.98,36.15,21.66,53.28,27.82
0,27.88,15.77,48,37.76,43.15,45.07,90.76,55.42
1,32.25,20.98,47.73,25.79,53.55,39.51,69.88,47.99
1,35.87,30.47,53.67,41.09,49.06,60.42,63.6,110.39
0,32.75,21.98,39.82,26.1,40.53,34,65.13,40.38
0,24.8,15.4,45.91,29.39,47.32,38.72,54.9,45.37
1,34.24,29.02,51.15,35.22,51.72,38.84,105.95,70.14
0,30.69,20.65,41.57,32.51,47.83,30.01,76.42,51
1,31.33,20.68,45.47,21.42,50.59,22.02,77.1,39.55
1,37.24,32.41,51.07,35.63,55.68,41.11,74.69,47.33
0,32.2,27.76,53.28,40.42,66.39,43.59,98.77,96.67
0,34.28,26.36,46.66,38.69,49.72,36.32,69.61,57.84
1,29.24,28,46.67,40.19,50.78,39.18,56,53.61
0,38.75,31.67,50.51,42.17,53.98,53.14,74.69,57.05
1,24.92,19.26,36.07,29.29,47.61,31.81,64.89,48.1
1,26.74,11.78,27.37,15.86,28.22,13.2,49.21,24.39
1,36.18,28.39,51.57,42.39,52.21,47.95,102.84,53.2
0,28.62,17.59,43.14,26.57,51.48,38.07,92.54,46.7
0,37.27,27.99,49.09,42.05,50.42,38.65,88.85,66.34
1,28.06,15.64,33.73,14.8,39.02,23.6,50.29,29.82
1,28.55,19.77,38.52,27.43,45.74,36.93,71.84,48.12
0,28.33,20.33,31.9,24.07,28.89,26.06,47.51,40.36
1,30.75,23.29,31.74,24.36,35.03,28.12,64.78,44.23
1,27.31,18.61,37.73,24.67,44.23,36.05,58.41,42.83
0,31.03,28.61,46.02,36.53,48.47,35.7,66.5,60.4
1,32.06,33.02,51.6,41.58,49.21,47.27,65.65,67.93
0,33.36,25.35,47.77,32.48,47.15,41.9,67.96,51.56
0,25.71,17.73,41.04,23.23,47.33,28.74,73.72,57.52
1,33.77,31.74,44.61,45.16,49.92,59.46,65.78,97.07
0,39.39,28.73,55.12,45.26,66.98,52.59,104.03,73.55
0,39.84,26.32,53.53,42.46,61.51,45.8,76.49,73.18
1,34.43,31.5,50.1,39.86,52.38,67.86,91.75,98.06
0,51.6,30.39,107.99,38.94,132.42,47.79,127,62.59
1,32.17,22.81,40.88,29.97,43.16,26.31,52.42,59.57
0,28.94,22.07,45.39,35.47,55.75,33.51,84.71,65.94
0,37.57,28.57,47.45,43.73,49.23,49.99,65.51,64.49
0,28.89,31.42,40.46,33.34,42.29,44.57,59.47,69.91
0,25.34,16.45,26.54,18.33,32.33,23.77,48.17,28.59
1,22.44,12.99,23.87,16.71,28.17,15.78,37.52,29.42
1,32.31,21.61,37.12,25.96,33.45,35.64,52.19,52.57
0,35.13,34.01,54.11,48.91,52.13,51.52,102.57,67.73
1,37.1,32.1,58.6,56.23,68.42,57.62,125.98,75.99
0,50.04,29.72,66.17,44.57,105.65,65.27,128.06,84.36
1,42.96,33.35,50.57,40.59,102.76,56.14,113.82,61.84
1,45.3,42.25,83.65,66.15,91.11,65.22,107.37,64.81
1,39.96,27.1,46.36,41.66,53.97,36.46,93.17,76.96
1,60.12,38.77,90.09,54.87,107.97,66.17,124.98,69.86
1,34.34,25.2,48.71,37.56,58.81,36.5,88.65,52.12
1,39.82,32.51,51.93,41.13,60.59,40.54,67.22,61.8
0,26.61,22.37,45.85,43.66,53.84,41.25,64.35,63.97
1,35.62,25.88,55.34,29.72,61.72,53.08,75.44,48.87
0,46.14,36.99,48.2,43.23,66.39,52.45,76.58,56.59
1,36.86,26.71,50.83,34.75,51.83,34.59,79.24,56.32
0,46.82,33.61,61.42,51.57,62.97,49.13,77.02,57.18
0,36.34,16.76,49.24,31.27,52.71,35.96,65.13,50.04
0,102.8,40.85,93,43.33,124.23,50.98,107.55,84.01
1,36.49,36.72,52.01,55.47,60.36,65.14,72.06,90.14
0,30.5,18.63,45.25,20.22,54.55,21.14,59.15,36.4
1,32.58,34.27,62.23,45.69,78.35,54.35,130.92,95.53
1,23.35,19.63,50.99,30.21,52.01,41.94,75.28,51.65
0,39.88,31.7,60.38,45.55,85.33,51.43,99.63,37.33
1,34.02,29.14,40.32,36.83,41.23,34.27,62.75,56.44
0,41.63,25.64,63.27,46.12,66.07,46.21,90.62,67.03
1,23.62,11.48,38.52,19.46,27.96,20.84,36.55,25.56
